state,category,number,date
uppermidwest,Senior Facilities/Communities,0,2022-06-14
uppermidwest,Disability/AFN Organizations,0,2022-06-14
uppermidwest,Non-Profit Organizations,0,2022-06-14
uppermidwest,Neighborhood Groups,0,2022-06-14
uppermidwest,Preparedness Organizations,0,2022-06-14
uppermidwest,Faith-based Organizations,0,2022-06-14
uppermidwest,"Museums, Libraries, Parks, etc.",0,2022-06-14
uppermidwest,Animal Shelter/Service Providers,0,2022-06-14
uppermidwest,Agriculture/Livestock Sector,0,2022-06-14
uppermidwest,Volunteer Radio Groups,0,2022-06-14
uppermidwest,Science/Engineering Organizations,0,2022-06-14
uppermidwest,Media Organizations,0,2022-06-14
uppermidwest,Other,0,2022-06-14
usvi,"<tr><td align=""left""><a href=""https://www.shakeout.org/usvi/participant_list.php?start=usvi&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">0</td></tr>",0,2022-06-14
usvi,Childcare and Pre-Schools,113,2022-06-14
usvi,K-12 Schools and Districts,0,2022-06-14
usvi,Colleges and Universities,0,2022-06-14
usvi,Local Government,0,2022-06-14
usvi,State Government,0,2022-06-14
usvi,Federal/National Government (Including Military),0,2022-06-14
usvi,Businesses,0,2022-06-14
usvi,Hotels and Other Lodgings,0,2022-06-14
usvi,Healthcare,0,2022-06-14
usvi,Senior Facilities/Communities,0,2022-06-14
usvi,Disability/AFN Organizations,0,2022-06-14
usvi,Non-Profit Organizations,0,2022-06-14
usvi,Neighborhood Groups,0,2022-06-14
usvi,Preparedness Organizations,0,2022-06-14
usvi,Faith-based Organizations,0,2022-06-14
usvi,"Museums, Libraries, Parks, etc.",0,2022-06-14
usvi,Animal Shelter/Service Providers,0,2022-06-14
usvi,Agriculture/Livestock Sector,0,2022-06-14
usvi,Volunteer Radio Groups,0,2022-06-14
usvi,Science/Engineering Organizations,0,2022-06-14
usvi,Media Organizations,0,2022-06-14
usvi,Other,0,2022-06-14
utah,"<tr><td align=""left""><a href=""https://www.shakeout.org/utah/participant_list.php?start=utah&amp;category=individuals"" style=""font-size:14px;"">Individuals/Families</a></td><td align=""right"" style=""font-size:14px;"">2,129</td></tr>","2,129",2022-06-14
utah,Childcare and Pre-Schools,"8,913",2022-06-14
utah,K-12 Schools and Districts,"623,836",2022-06-14
utah,Colleges and Universities,"143,052",2022-06-14
